Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.114752	0	258	5348	LastDelay	0.114752	114752	1	4
0.114752	0	258	5348	FullDelay	0.114752	114752	1	4
0.12324	0	258	2180	LastDelay	0.12314	123140	1	4
0.12324	0	258	2180	FullDelay	0.12314	123140	1	4
0.131728	0	258	1200	LastDelay	0.131528	131528	1	4
0.131728	0	258	1200	FullDelay	0.131528	131528	1	4
0.140216	0	258	568	LastDelay	0.139916	139916	1	4
0.140216	0	258	568	FullDelay	0.139916	139916	1	4
0.148704	0	258	517	LastDelay	0.148304	148304	1	4
0.148704	0	258	517	FullDelay	0.148304	148304	1	4
0.157192	0	258	5152	LastDelay	0.156692	156692	1	4
0.157192	0	258	5152	FullDelay	0.156692	156692	1	4
0.165672	0	258	22	LastDelay	0.000773648	773.648	1	4
0.165672	0	258	22	FullDelay	0.165072	165072	6	4
0.17416	0	258	1952	LastDelay	0.17346	173460	1	4
0.17416	0	258	1952	FullDelay	0.17346	173460	1	4
0.182648	0	258	8227	LastDelay	0.181848	181848	1	4
0.182648	0	258	8227	FullDelay	0.181848	181848	1	4
0.186198	0	258	22	LastDelay	0	0	1	-1
0.186198	0	258	22	FullDelay	0	0	1	-1
0.191136	0	258	2393	LastDelay	0.190236	190236	1	4
0.191136	0	258	2393	FullDelay	0.190236	190236	1	4
0.200008	0	258	5458	LastDelay	0.199008	199008	1	4
0.200008	0	258	5458	FullDelay	0.199008	199008	1	4
0.208496	0	258	1710	LastDelay	0.00939799	9397.99	1	4
0.208496	0	258	1710	FullDelay	0.207396	207396	2	4
0.21716	0	258	173	LastDelay	0.143561	143561	1	4
0.21716	0	258	173	FullDelay	0.21596	215960	2	4
0.226048	0	258	5763	LastDelay	0.224748	224748	1	4
0.226048	0	258	5763	FullDelay	0.224748	224748	1	4
0.233536	0	258	2	LastDelay	0.00373829	3738.29	1	4
0.233536	0	258	2	FullDelay	0.232136	232136	23	4
0.244784	0	258	5805	LastDelay	0.243284	243284	1	4
0.244784	0	258	5805	FullDelay	0.243284	243284	1	4
0.251997	0	258	2	LastDelay	0	0	1	-1
0.251997	0	258	2	FullDelay	0	0	1	-1
0.254056	0	258	8362	LastDelay	0.252456	252456	1	4
0.254056	0	258	8362	FullDelay	0.252456	252456	1	4
0.259197	0	258	2	LastDelay	0	0	1	-1
0.259197	0	258	2	FullDelay	0	0	1	-1
0.263904	0	258	5735	LastDelay	0.262204	262204	1	4
0.263904	0	258	5735	FullDelay	0.262204	262204	1	4
0.26748	0	258	9	LastDelay	0.065082	65082	1	4
0.26748	0	258	9	FullDelay	0.26568	265680	11	4
0.269397	0	258	2	LastDelay	0	0	1	-1
0.269397	0	258	2	FullDelay	0	0	1	-1
0.273697	0	258	2	LastDelay	0	0	1	-1
0.273697	0	258	2	FullDelay	0	0	1	-1
0.279397	0	258	2	LastDelay	0	0	1	-1
0.279397	0	258	2	FullDelay	0	0	1	-1
0.280097	0	258	9	LastDelay	0	0	1	-1
0.280097	0	258	9	FullDelay	0	0	1	-1
